Year,PriceLinen,PriceCoat,TheoreticalLinen
2016, 9.50, 52,70.22849462365592
2016.5, 5.00,  71,36.96236559139785
2017, 5.00, 80,36.96236559139785
2017.5, 12.50, 65  ,92.40591397849462
2018, 4.00, 80,29.56989247311828
2018.5, 7.00, 55,51.74731182795699
2019, 6.00, 111,44.35483870967742
2019.5,5.50, 55,40.65860215053763
2020,2.92, 47,21.586021505376344
2020.5,13.5, 160,99.79838709677419
2021,12.0,110,88.70967741935485
2021.5,7.0,70,51.74731182795699
2022, 5.50,65,40.65860215053763
2022.5, 7.00,80,51.74731182795699
2023, 16.63,130,122.93682795698925
2023.5, 13.00,110,96.10215053763442
2024, 6.99, 79.99,51.6733870967742
